,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,pressure,summary,temperature,visibility,windBearing,windSpeed,timezone
2016-03-25 21:36:00-07:00,12.902,0.0,9.018,0.772,,310.83,0.0,0.0,1016.28,,12.902,16.09,312.8,3.934,
2016-03-25 21:37:00-07:00,12.889833333333334,0.0,9.0135,0.7723333333333333,,310.825,0.0,0.0,1016.2841666666667,,12.889833333333334,16.09,312.85,3.9330000000000003,
2016-03-25 21:38:00-07:00,12.877666666666666,0.0,9.009,0.7726666666666667,,310.82,0.0,0.0,1016.2883333333333,,12.877666666666666,16.09,312.9,3.9320000000000004,
2016-03-25 21:39:00-07:00,12.865499999999999,0.0,9.0045,0.773,,310.815,0.0,0.0,1016.2925,,12.865499999999999,16.09,312.95,3.931,
2016-03-25 21:40:00-07:00,12.853333333333333,0.0,9.0,0.7733333333333333,,310.81,0.0,0.0,1016.2966666666666,,12.853333333333333,16.09,313.0,3.93,
2016-03-25 21:41:00-07:00,12.841166666666666,0.0,8.9955,0.7736666666666667,,310.805,0.0,0.0,1016.3008333333333,,12.841166666666666,16.09,313.05,3.9290000000000003,
2016-03-25 21:42:00-07:00,12.828999999999999,0.0,8.991,0.774,,310.79999999999995,0.0,0.0,1016.305,,12.828999999999999,16.09,313.1,3.928,
2016-03-25 21:43:00-07:00,12.816833333333333,0.0,8.9865,0.7743333333333333,,310.79499999999996,0.0,0.0,1016.3091666666667,,12.816833333333333,16.09,313.15,3.927,
2016-03-25 21:44:00-07:00,12.804666666666666,0.0,8.982,0.7746666666666667,,310.78999999999996,0.0,0.0,1016.3133333333333,,12.804666666666666,16.09,313.2,3.926,
2016-03-25 21:45:00-07:00,12.792499999999999,0.0,8.977500000000001,0.775,,310.78499999999997,0.0,0.0,1016.3175,,12.792499999999999,16.09,313.25,3.9250000000000003,
2016-03-25 21:46:00-07:00,12.780333333333333,0.0,8.973,0.7753333333333333,,310.78,0.0,0.0,1016.3216666666667,,12.780333333333333,16.09,313.3,3.9240000000000004,
2016-03-25 21:47:00-07:00,12.768166666666666,0.0,8.9685,0.7756666666666667,,310.775,0.0,0.0,1016.3258333333333,,12.768166666666666,16.09,313.35,3.923,
2016-03-25 21:48:00-07:00,12.756,0.0,8.964,0.776,,310.77,0.0,0.0,1016.33,,12.756,16.09,313.4,3.922,
2016-03-25 21:49:00-07:00,12.743833333333333,0.0,8.9595,0.7763333333333333,,310.765,0.0,0.0,1016.3341666666666,,12.743833333333333,16.09,313.45,3.9210000000000003,
2016-03-25 21:50:00-07:00,12.731666666666666,0.0,8.955,0.7766666666666667,,310.76,0.0,0.0,1016.3383333333334,,12.731666666666666,16.09,313.5,3.92,
2016-03-25 21:51:00-07:00,12.7195,0.0,8.9505,0.777,,310.755,0.0,0.0,1016.3425,,12.7195,16.09,313.55,3.919,
2016-03-25 21:52:00-07:00,12.707333333333333,0.0,8.946,0.7773333333333333,,310.75,0.0,0.0,1016.3466666666667,,12.707333333333333,16.09,313.6,3.918,
2016-03-25 21:53:00-07:00,12.695166666666665,0.0,8.9415,0.7776666666666667,,310.745,0.0,0.0,1016.3508333333333,,12.695166666666665,16.09,313.65,3.9170000000000003,
2016-03-25 21:54:00-07:00,12.683,0.0,8.937,0.778,,310.74,0.0,0.0,1016.355,,12.683,16.09,313.7,3.9160000000000004,
2016-03-25 21:55:00-07:00,12.670833333333333,0.0,8.932500000000001,0.7783333333333333,,310.73499999999996,0.0,0.0,1016.3591666666666,,12.670833333333333,16.09,313.75,3.915,
